Arrival_Date,log_ret,log_return_lag1,vol_7,vol_7_lag1,vol_30,vol_30_lag1,rainfall_7d,rainfall_7d_lag1,festival_window,days_since_last_arrival,is_price_jump,price_momentum_7,price_momentum_3,month_sin,month_cos,dow_sin,dow_cos,govt_window,govt_none,govt_buffer_operations,govt_export_restriction,govt_farmer_actions,govt_import_support,govt_market_intervention,govt_procurement_support,govt_stock_limit_actions
2025-07-13,0.0,-0.06664691029235101,0.03672472521704391,0.03672472521704391,0.027587583240406315,0.027587583240406315,29.299999999999997,39.4,0,0,0,-0.06664691029235084,-0.01640501588973234,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0,0,0,0,0,0,0,0,0
2025-07-14,0.0,0.0,0.03524040011281153,0.03672472521704391,0.027584786322284786,0.027587583240406315,25.9,29.299999999999997,0,0,0,-0.0332121342061135,-0.06664691029235104,1.2246467991473532e-16,-1.0,0.0,1.0,0,0,0,0,0,0,0,0,0
2025-07-15,0.006183461818194362,0.0,0.03521483040258073,0.03524040011281153,0.027633192649268425,0.027584786322284786,27.8,25.9,0,0,0,-0.013605652055778473,0.006183461818194335,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,0,0,0,0,0,0,0,0
2025-07-16,0.02702867238791942,0.006183461818194362,0.03655434803570334,0.03521483040258073,0.028173622387828213,0.027633192649268425,23.7,27.8,0,0,0,1.734723475976807e-16,0.033212134206113755,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0,0,0,0,0,0,0,0,0
2025-07-17,-0.06899287148695143,0.02702867238791942,0.044918089984162454,0.03655434803570334,0.03054295456770839,0.028173622387828213,22.799999999999997,23.7,0,0,1,-0.052185753170569976,-0.03578073728083768,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0,0,0,0,0,0,0,0,0
2025-07-18,0.0,-0.06899287148695143,0.03757622605265143,0.044918089984162454,0.029299750659210647,0.03054295456770839,22.5,22.799999999999997,0,0,0,-0.10242764757318867,-0.04196419909903204,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,0,0,0,0,0,0,0,0
2025-07-19,-0.03562717764315116,0.0,0.03180580387430205,0.03757622605265143,0.028799665486610733,0.029299750659210647,21.7,22.5,0,0,0,-0.07140791492398882,-0.10462004913010262,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,0,0,0,0,0,0,0,0
2025-07-20,0.0,-0.03562717764315116,0.03180580387430205,0.03180580387430205,0.028408518946642675,0.028799665486610733,22.700000000000003,21.7,0,0,0,-0.07140791492398882,-0.03562717764315119,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0,0,0,0,0,0,0,0,0
2025-07-21,0.05332675474255211,0.0,0.03998986362153445,0.03180580387430205,0.030048681516600843,0.028408518946642675,15.6,22.700000000000003,0,0,0,-0.01808116018143672,0.01769957709940092,1.2246467991473532e-16,-1.0,0.0,1.0,0,0,0,0,0,0,0,0,0
2025-07-22,0.018081160181436958,0.05332675474255211,0.04067159161570375,0.03998986362153445,0.030300374196162612,0.030048681516600843,10.600000000000001,15.6,0,0,0,-0.006183461818194121,0.07140791492398904,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,0,0,0,0,0,0,0,0
2025-07-23,-0.035780737280837915,0.018081160181436958,0.04041501795375041,0.04067159161570375,0.030735106768201292,0.030300374196162612,17.8,10.600000000000001,0,0,0,-0.06899287148695146,0.035627177643151126,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,1,0,1,0,0,0,0,0,0
2025-07-24,0.017699577099400857,-0.035780737280837915,0.03159311508834167,0.04041501795375041,0.030283421811198884,0.030735106768201292,20.7,17.8,0,0,0,0.01769957709940083,-1.249000902703301e-16,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,1,0,1,0,0,0,0,0,0
2025-07-25,-0.05406722127027582,0.017699577099400857,0.03822700587392047,0.03159311508834167,0.03048499425395906,0.030283421811198884,38.099999999999994,20.7,0,0,0,-0.03636764417087499,-0.0721483814517129,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,1,0,1,0,0,0,0,0,0
2025-07-26,0.0,-0.05406722127027582,0.035794304489648994,0.03822700587392047,0.03048499425395906,0.03048499425395906,48.0,38.099999999999994,0,0,0,-0.000740466527723832,-0.03636764417087499,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,1,0,1,0,0,0,0,0,0
2025-07-27,0.0,0.0,0.035794304489648994,0.035794304489648994,0.02951335547210652,0.03048499425395906,60.0,48.0,0,0,0,-0.000740466527723832,-0.05406722127027585,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,1,0,1,0,0,0,0,0,0
2025-07-28,-0.05715841383994864,0.0,0.03251539954500505,0.035794304489648994,0.030228672080719197,0.02951335547210652,62.4,60.0,0,0,0,-0.11122563511022457,-0.057158413839948664,1.2246467991473532e-16,-1.0,0.0,1.0,1,0,1,0,0,0,0,0,0
2025-07-29,0.020187020919978857,-0.05715841383994864,0.032889671155300296,0.03251539954500505,0.030601472006841855,0.030228672080719197,69.5,62.4,0,0,0,-0.10911977437168269,-0.03697139291996981,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,1,0,1,0,0,0,0,0,0
2025-07-30,0.01449853706791132,0.020187020919978857,0.03323338300091174,0.032889671155300296,0.030814600261486573,0.030601472006841855,63.7,69.5,0,0,0,-0.058840500022933444,-0.022472855852058486,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0,0,0,0,0,0,0,0,0
2025-07-31,-0.03077165866675366,0.01449853706791132,0.03191094779930657,0.03323338300091174,0.031104235807186933,0.030814600261486573,63.2,63.7,0,0,0,-0.10731173578908795,0.003913899321136491,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0,0,0,0,0,0,0,0,0
2025-08-01,0.02316705928153438,-0.03077165866675366,0.029549898726953846,0.03191094779930657,0.031475868640240684,0.031104235807186933,46.9,63.2,0,0,0,-0.03007745523727776,0.006893937682692013,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0,0,0,0,0,0,0,0,0
2025-08-02,0.015151805020602246,0.02316705928153438,0.03045807902335834,0.029549898726953846,0.03167176059899877,0.031475868640240684,38.3,46.9,0,0,0,-0.014925650216675513,0.00754720563538294,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0,0,0,0,0,0,0,0,0
2025-08-03,0.0,0.015151805020602246,0.03045807902335834,0.03045807902335834,0.03161787329888664,0.03167176059899877,25.1,38.3,0,0,0,-0.014925650216675513,0.0383188643021366,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0,0,0,0,0,0,0,0,0
2025-08-04,-0.0422327636232729,0.0,0.026186874963844625,0.03045807902335834,0.031793523251095974,0.03161787329888664,19.9,25.1,0,0,0,2.220446049250313e-16,-0.027080958602670676,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0,0,0,0,0,0,0,0,0
2025-08-05,-0.00392927813988955,-0.0422327636232729,0.02462841451638592,0.026186874963844625,0.03177377450679259,0.031793523251095974,13.000000000000002,19.9,0,0,0,-0.024116299059868177,-0.04616204176316248,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0,0,0,0,0,0,0,0,0
2025-08-06,0.04239555896768555,-0.00392927813988955,0.029742146856047865,0.02462841451638592,0.032576654287315744,0.03177377450679259,11.4,13.000000000000002,0,0,0,0.0037807228399060547,-0.003766482795476929,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0,0,0,0,0,0,0,0,0
