Arrival_Date,festival_window,Modal_Price,log_ret,vol_7,vol_30,month,week,day_of_week,precip_mm,rainfall_7d,days_since_last_arrival,is_price_jump
2019-12-21,0,5500.0,0.0755075525081451,0.1678069154556943,0.1819648968018099,12,51,5,0.0,0.4999999999999645,1.0,0
2019-12-23,0,6701.0,0.1975086767526084,0.18039980113326454,0.1835079053211564,12,52,0,0.5,0.9999999999999645,2.0,0
2019-12-24,0,6501.0,-0.030300757768701964,0.16227188473626683,0.1824199479204698,12,52,1,0.7,1.2999999999999643,1.0,0
2019-12-25,0,6701.0,0.03030075776870208,0.1642931611740214,0.18214459184595935,12,52,2,1.6,2.7999999999999643,1.0,0
2019-12-27,0,6900.0,0.02926464261217997,0.15693309106298872,0.18070754222000965,12,52,4,0.0,2.7999999999999643,2.0,0
2019-12-30,0,4500.0,-0.4274440148269396,0.22453795538635302,0.19595904844306963,12,1,0,0.0,2.7999999999999643,3.0,1
2019-12-31,0,4201.0,-0.06875480458902904,0.1955621570642862,0.19548713102011112,12,1,1,0.0,2.7999999999999643,1.0,0
2020-01-01,0,3801.0,-0.10005840218013332,0.19133175348664103,0.1959009607250829,1,1,2,0.0,2.7999999999999643,1.0,0
2020-01-02,0,4351.0,0.1351415137314314,0.17877407572203277,0.19781646465581304,1,1,3,0.0,2.2999999999999643,1.0,0
2020-01-03,0,4251.0,-0.02325145436189002,0.1790000938722709,0.1968738608496105,1,1,4,0.0,1.5999999999999646,1.0,0
2020-01-04,0,4000.0,-0.06085988825676244,0.1745377072464583,0.19169278749234714,1,1,5,0.0,0.0,1.0,0
2020-01-07,0,4300.0,0.07232066157962608,0.17946063619944777,0.19149202250660652,1,2,1,0.0,0.0,3.0,0
2020-01-08,0,3651.0,-0.16361392002601693,0.10247095949923897,0.19240432566919796,1,2,2,0.0,0.0,1.0,0
2020-01-09,0,3350.0,-0.0860407568365248,0.1037643905880587,0.19252672187654454,1,2,3,0.0,0.0,1.0,0
2020-01-10,0,2700.0,-0.21570857282669167,0.12364628435620452,0.185508366047629,1,2,4,0.0,0.0,1.0,0
2020-01-13,0,2800.0,0.03636764417087479,0.10307285140910984,0.18309664301867268,1,3,0,0.0,0.0,3.0,0
2020-01-14,0,3351.0,0.17963939157401515,0.13853094971142924,0.1732931025032577,1,3,1,0.0,0.0,1.0,0
2020-01-15,0,3460.0,0.032009780314459474,0.1399677918345535,0.1609076532053579,1,3,2,0.0,0.0,1.0,0
2020-01-17,0,3451.0,-0.0026045449537665404,0.13442211907557824,0.16094868449568245,1,3,4,0.0,0.0,2.0,0
2020-01-18,0,3551.0,0.028565209845084396,0.12197220684333371,0.1607668855672519,1,3,5,0.0,0.0,1.0,0
2020-01-20,0,4051.0,0.13173451025960273,0.12527778374966805,0.14528738040034578,1,4,0,0.0,0.0,2.0,0
2020-01-21,0,3801.0,-0.06369957421344176,0.08179400772925342,0.14306472731388034,1,4,1,0.0,0.0,1.0,0
2020-01-22,0,3700.0,-0.026931370356932893,0.0867537692674815,0.1402498194042002,1,4,2,0.0,0.0,1.0,0
2020-01-23,0,3500.0,-0.055569851154810765,0.06683553419651421,0.13999767035968036,1,4,3,0.0,0.0,1.0,0
2020-01-27,0,2500.0,-0.3364722366212129,0.14385989436080227,0.14861369652909068,1,5,0,0.0,0.0,4.0,1
2020-01-28,0,2680.0,0.0695260626486103,0.14997512577905603,0.14506191751692235,1,5,1,0.0,0.0,1.0,0
2020-01-29,0,2750.0,0.025784117155714634,0.14977876060880338,0.14552045328354238,1,5,2,0.0,0.0,1.0,0
2020-01-30,0,2700.0,-0.01834913866819654,0.1312791497681255,0.1441176882640277,1,5,3,0.0,0.0,1.0,0
2020-01-31,0,2600.0,-0.037740327982847086,0.13145649158765857,0.14408015685337325,1,5,4,0.0,0.0,1.0,0
2020-02-01,0,2501.0,-0.038820793131954405,0.13112106657854142,0.1337796881503792,2,5,5,0.0,0.0,1.0,0
2020-02-03,0,2250.0,-0.1057604356791533,0.13246230987665014,0.1332344215380261,2,6,0,0.0,0.0,2.0,0
2020-02-04,0,1800.0,-0.2231435513142097,0.09515659736067363,0.13059680601878312,2,6,1,0.0,0.0,1.0,0
2020-02-05,0,1770.0,-0.01680711831638129,0.08226928743388913,0.13066817493245378,2,6,2,0.0,0.0,1.0,0
2020-02-06,0,1740.0,-0.017094433359300068,0.07625831419292405,0.13003176331383562,2,6,3,0.0,0.0,1.0,0
2020-02-07,0,1600.0,-0.08388148398070212,0.07349358568757135,0.12944465002147956,2,6,4,0.0,0.0,1.0,0
2020-02-08,0,1780.0,0.10660973505825827,0.10079078837714138,0.11096862114844838,2,6,5,0.0,0.0,1.0,0
2020-02-10,0,2101.0,0.16580005755886956,0.1310886945589184,0.1163434760082573,2,7,0,0.0,0.0,2.0,0
2020-02-11,0,1850.0,-0.12722778277262994,0.1335242452962965,0.11706671926689925,2,7,1,0.0,0.0,1.0,0
2020-02-12,0,1880.0,0.016086137751624444,0.10217765006969179,0.1134477955094086,2,7,2,0.0,0.0,1.0,0
2020-02-13,0,1860.0,-0.010695289116747919,0.1019740746196544,0.11348896209310658,2,7,3,0.0,0.0,1.0,0
2020-02-14,0,1850.0,-0.005390848634876423,0.10160683948313529,0.11337940538599128,2,7,4,0.0,0.0,1.0,0
2020-02-15,0,1940.0,0.04750233398500326,0.09344962605574583,0.11272817740894613,2,7,5,0.0,0.0,1.0,0
2020-02-17,0,2000.0,0.03045920748470844,0.08691279011908427,0.1101288049631911,2,8,0,0.0,0.0,2.0,0
2020-02-18,0,2050.0,0.024692612590371414,0.05816186750643113,0.10969601596176135,2,8,1,0.0,0.0,1.0,0
2020-02-19,0,2060.0,0.004866189651172906,0.020689516266747598,0.10306624899667913,2,8,2,0.0,0.0,1.0,0
2020-02-20,0,2025.0,-0.01713628224298724,0.024035200739845657,0.10271613135969691,2,8,3,0.0,0.0,1.0,0
2020-02-22,0,2000.0,-0.012422519998557209,0.024297854745713297,0.09621684330607148,2,8,5,0.0,0.0,2.0,0
2020-02-24,0,1851.0,-0.07742114696858486,0.04135134706593734,0.0963609854341525,2,9,0,0.0,0.0,2.0,0
2020-02-25,0,1750.0,-0.05611024565593776,0.040070430906268086,0.09650666472089045,2,9,1,0.0,0.0,1.0,0
2020-02-27,0,2001.0,0.1340312676661737,0.0685420974921638,0.10028315596887154,2,9,3,0.0,0.0,2.0,0
2020-02-28,0,1951.0,-0.025304993960622146,0.06815272608746215,0.09615073298512465,2,9,4,0.0,0.0,1.0,0
2020-02-29,0,1750.0,-0.10872627370555153,0.07769246828433847,0.09713250126906753,2,9,5,0.0,0.0,1.0,0
2020-03-02,0,1452.0,-0.1866738715328183,0.09896470850730565,0.10147497402985976,3,10,0,0.0,0.0,2.0,0
2020-03-03,0,1600.0,0.09706171284313124,0.11308060402031311,0.1040047036915415,3,10,1,0.0,0.0,1.0,0
2020-03-05,0,1625.0,0.015504186535965254,0.11229468535681558,0.08609480123112265,3,10,3,0.0,0.0,2.0,0
2020-03-06,0,1755.0,0.0769610411361284,0.11608650168008304,0.08635490903546898,3,10,4,0.1,0.09999999999996448,1.0,0
2020-03-07,0,1745.0,-0.005714301263438664,0.10020712808328013,0.08604403723197776,3,10,5,0.0,0.09999999999996448,1.0,0
2020-03-09,0,1775.0,0.0170458672729886,0.10107689729190941,0.08624126350624467,3,11,0,0.0,0.09999999999996448,2.0,0
2020-03-11,0,1712.5,-0.03584613177313577,0.09307042187440584,0.08622396095123566,3,11,2,0.0,0.09999999999996448,2.0,0
2020-03-12,0,1725.0,0.007272759329079878,0.04655659842625705,0.0861755832267351,3,11,3,0.0,0.09999999999996448,1.0,0
2020-03-14,0,1760.5,0.02037080912964697,0.03399494881686854,0.08452374583682833,3,11,5,0.0,0.09999999999996448,2.0,0
2020-03-16,0,1475.0,-0.17693986982118695,0.07954742627053582,0.0808111553986562,3,12,0,0.0,0.09999999999996448,2.0,1
2020-03-17,0,1300.5,-0.125909183885214,0.07789277307030681,0.08368832852776566,3,12,1,0.0,0.0,1.0,0
2020-03-18,0,1175.5,-0.10105521690858203,0.0786555781689319,0.08531241250488321,3,12,2,0.0,0.0,1.0,0
2020-03-19,0,1150.0,-0.021931646622828406,0.07381737641295348,0.08428292634556746,3,12,3,0.0,0.0,1.0,0
2020-03-20,0,1160.0,0.008658062743114531,0.07823054654806003,0.08141797909248293,3,12,4,0.0,0.0,1.0,0
2020-03-21,0,1151.0,-0.007788875378527673,0.07639719035125667,0.07401048247051022,3,12,5,0.0,0.0,1.0,0
2020-03-23,1,1355.5,0.16353926021683754,0.11178195875122016,0.07840087590490223,3,13,0,0.0,0.0,2.0,1
2020-03-27,1,1476.0,0.08516533622169757,0.10056512294092056,0.08019842662395459,3,13,4,1.3,1.2999999999999645,4.0,0
2020-03-28,0,1685.5,0.13272652951369768,0.09384129249339677,0.08421061112182456,3,13,5,0.1,1.3999999999999646,1.0,0
2020-03-30,0,1526.0,-0.09941232282971305,0.09343953057678539,0.08602184317882018,3,14,0,0.0,1.3999999999999646,2.0,0
2020-04-07,0,1000.0,-0.4226499328622652,0.19894533348001806,0.11410319234216049,4,15,1,0.0,1.3999999999999646,8.0,1
2020-04-16,0,775.0,-0.25489224962879004,0.21676554284722688,0.1212418688056706,4,16,3,0.0,1.3999999999999646,9.0,1
2020-04-17,0,850.0,0.09237332013101507,0.2237947925915415,0.12294323701495417,4,16,4,0.0,1.3999999999999646,1.0,0
2020-04-18,0,877.5,0.03184060585565884,0.20852202593296992,0.12330019169451495,4,16,5,0.0,1.3999999999999646,1.0,0
2020-04-30,0,735.0,-0.17720645612718416,0.20108279552548428,0.12622268451543237,4,18,3,0.0,0.09999999999996448,10.0,0
2020-05-05,0,650.0,-0.1228981363231539,0.17312643755717477,0.12718591968199516,5,19,1,0.0,0.0,5.0,0
2020-05-06,0,630.0,-0.031252543504104426,0.17739914106937804,0.1269648981002028,5,19,2,0.0,0.0,1.0,0
2020-05-15,0,620.0,-0.01600034134644119,0.1222088818240073,0.12695620028551105,5,20,4,1.4,1.3999999999999644,9.0,0
2020-05-18,0,620.0,0.0,0.09144413120076522,0.12311802341669117,5,21,0,0.0,1.3999999999999644,3.0,0
2020-05-19,0,600.0,-0.03278982282299084,0.07359430461058498,0.12309677843522379,5,21,1,0.0,1.3999999999999644,1.0,0
2020-05-20,0,640.0,0.06453852113757116,0.08036309532533102,0.12379005687582706,5,21,2,0.0,1.3999999999999644,1.0,0
2020-05-21,0,670.0,0.0458095360312942,0.061170276294104285,0.12112055989114895,5,21,3,0.0,1.3999999999999644,1.0,0
2020-05-23,1,740.0,0.09937247381320377,0.05171104613379001,0.12120208134145344,5,21,5,0.0,1.3999999999999644,2.0,0
2020-05-25,1,820.0,0.10265415406008337,0.05489751741743225,0.1232509153793159,5,22,0,0.0,1.3999999999999644,2.0,0
2020-05-26,1,760.0,-0.07598590697792199,0.06782789259832325,0.12214039308692469,5,22,1,0.0,0.0,1.0,0
2020-05-27,1,751.0,-0.011912781516242,0.06882145853826209,0.1221068126636354,5,22,2,0.0,0.0,1.0,0
2020-05-28,0,780.0,0.037888267919502686,0.06350094356404651,0.12243141697477221,5,22,3,0.0,0.0,1.0,0
2020-05-29,0,851.0,0.08711820888973662,0.0656418884187863,0.12418497401923002,5,22,4,0.0,0.0,1.0,0
2020-05-30,0,801.0,-0.060551181505014956,0.07578927926543161,0.12422637861370618,5,22,5,0.0,0.0,1.0,0
2020-06-01,0,761.0,-0.0512275892066734,0.07263791135765603,0.12400088644705984,6,23,0,0.0,0.0,2.0,0
2020-06-02,0,720.0,-0.05538214585158478,0.060391099914178875,0.12091235855108863,6,23,1,5.4,5.399999999999965,1.0,0
2020-06-03,0,700.0,-0.028170876966696335,0.05530574347287601,0.11937612998706426,6,23,2,82.1,87.49999999999996,1.0,0
2020-06-04,0,951.0,0.3064337275019856,0.13235957419782263,0.1323854011120316,6,23,3,26.9,114.39999999999995,1.0,1
2020-06-05,0,830.0,-0.13608836175474667,0.14697577237738316,0.13445197487433896,6,23,4,1.9,116.29999999999995,1.0,0
2020-06-06,0,851.0,0.02498642778273053,0.14329310578610907,0.13456675239393628,6,23,5,1.8,118.09999999999995,1.0,0
2020-06-08,0,870.0,0.022081083075255175,0.14085641155108292,0.1346966096204745,6,24,0,0.1,118.19999999999996,2.0,0
2020-06-09,0,960.0,0.09844007281325251,0.14105303915296416,0.13231903662810468,6,24,1,1.9,120.09999999999995,1.0,0
2020-06-10,0,951.0,-0.00941922191649164,0.13726183992883073,0.13105717081621948,6,24,2,3.8,118.49999999999994,1.0,0
2020-06-11,0,901.0,-0.054008804937052395,0.13971820916153896,0.12821983528990763,6,24,3,1.2,37.59999999999996,1.0,0
2020-06-12,0,851.0,-0.057093129034963754,0.07508251791009032,0.1275570972960369,6,24,4,7.6,18.299999999999958,1.0,0
